key	version	as_is	right_bazel	hermetic	note
absl	9.1.1	ok	ok	no-host-cc	
bazel	9.1.1	timeout	timeout	-	
benchmark	8.7.0	ok	ok	no-host-cc	
boringssl	9.1.1	ok	ok	no-host-cc	
brotli	8.7.0	fail	fail	-	The 'build' command is only supported from within a workspace (below a directory having a 
buildtools	8.7.0	drift	ok	no-host-cc	
catch2	9.1.1	ok	ok	no-host-cc	
cctz	8.7.0	dep-shape	ok	no-host-cc	
cli11	8.7.0	drift	ok	no-host-cc	
copybara	9.1.1	ok	ok	no-host-cc	
cpu_features	8.7.0	ok	ok	no-host-cc	
cxx	9.1.1	ok	ok	no-host-cc	
doctest	9.1.1	includes-dot	includes-dot	-	BUILD.bazel:3:11: in cc_library rule //:doctest: 
fast_float	8.7.0	ok	ok	no-host-cc	
flatbuffers	8.7.0	dep-shape	ok	no-host-cc	
ftxui	8.7.0	ok	ok	no-host-cc	
glog	8.7.0	drift	ok	no-host-cc	
googletest	8.7.0	drift	ok	no-host-cc	
gperftools	8.7.0	ok	ok	no-host-cc	
grpc	8.7.0	fail	fail	-	
highway	8.7.0	ok	ok	no-host-cc	
